id,title,year,reference,authors,keywords,format
87,Hydrocarbons in the Falkland Islands.,1991,"The Falkland Islands Association, Cambridge Seminar, April 1991. 'The Falkland Islands in the 1990s', pp. 12-21.","Macdonald, D., King, Ed","Hydrocarbons, Falkland islands, Oil",Scientific Paper
105,40 Ar -  39 Ar  ages for dykes from the Falkland Islands with implications for the break-up of southern Gondwanaland.,1994,"Journal of the Geological Society, London, 151, pp. 79-81.","Mussett, A.E., Taylor, G.K.","Falkland islands, Gondwanaland, Geology",Scientific Paper
111,Precambrian Age for Gneisses at Cape Meredith in the Falkland Islands.,1977,"Antarctic Geoscience, International Union of Geological Sciences, Series B-No. 4., Symposium on Antarctic Geology and Geophysics, Madison, Wisconsin, U.S.A., August 22-27, 1977. Part. I, pp. 107.","Rex, D.C., Tanner, P.W.","Precambrian age, Cape meredith, Falkland islands",Scientific Paper
129,The Geography of the Falkland Islands,1983,"The Geographical Journal, 149 (1): 1-21","Shackleton, E.A.A.S., Johnson, R., Swithinbank, C., Fawcett, J., Deeacon, G.","Politics, Legal, Farming, Fishing, Social, Agriculture, Geography",Scientific Paper
131,"The structure of the South Georgia, continental Block.",1977,"Antarctic Geoscience, International Union of Geological Sciences, Series B-No. 4., Symposium on Antarctic Geology and Geophysics, Madison, wisconsin, U.S.A., August 22-27, 1977. Part. II, pp. 185 - 192","Simpson, P., Griffiths, D.H.","South georgia, Geology",Scientific Paper
132,"Mount Pleasant Airport, Falkland Islands: design",1987,"Proceeding of the Institution of Civil Engineers, Part 1, 82: 77-96","Skene, G., Brice, G.J.","Engineering, Falkland islands",Scientific Paper
143,Geologic Evolution of South Georgia.,1977,"Antarctic Geoscience, International Union of Geological Sciences, Series B-No. 4., Symposium on Antarctic Geology and Geophysics, Madison, Wisconsin, U.S.A., August 22-27, 1977. Part. II, pp. 167 - 176","Tanner, P.W.G.","Geology, South georgia",Scientific Paper
155,Fossil and Radiometric Evidence for Ages of Deposition and Metamorphism of Sedimentary Sequences on South Georgia.,1977,"Antarctic Geoscience, International Union of Geological Sciences, Series B-No. 4, Symposium on Antarctic Geology and Geophysics, Madison, Wisconsin, USA, August 22-27, 1977, Part. II, pp. 177 - 184.","Thomson, M.R.A., Tanner, P.W.G., Rex, D.C.","Fossils, Radiometry, Deposition, Metamorphism, South georgia.",Scientific Paper
159,The Ostracod Family Cytheruridae from the Antarctic and South-West Atlantic,1988,"Revista Espanola de Micropaleontologia, 20 (2): 171-203","Whatley, R., Chadwick, J., Coxill, D., Toy, N.","Ostracods, Cytheruridae, Antarctic, South-west atlantic, Marine biology, Fossils",Scientific Paper
162,Soil erosion in the Falkland Islands: An assessment.,1993,Applied Geography. 13 pp 329-352,"Wilson, P., Clark, R., McAdam, J.H., Cooper, E.A.","Soil, Erosion, Falkland islands, Grazing",Scientific Paper
169,Paleontologic and Paleoenvironmental Synthesis for the Southwest Atlantic Ocean Basin Based on Jurassic to Holocene Faunas and Floras from the Falkland Plateau.,1977,"Antarctic Geoscience, International Union of Geological Sciences, Series B-No. 4., Symposium on Antarctic Geology and Geophysics, Madison, wisconsin, U.S.A., August 22-27, 1977. Part. II, pp. 155 - 164","Wise, S.W., Ciesielski, P.F., MacKenzie, D.T., Wind, F.H., Busen, K.E.","Paleontology, Paleoenvironment, Atlantic ocean, Jurassic, Holocene, Fauna, Flora, Falkland plateau.",Scientific Paper
171,Problems peculiar to the Falkland Islands.,1983,"The Veterinary Record., 113 (2): 25-26.",Anon,"Problems, Falkland islands, Agriculture, Animal health",Scientific Paper
173,The implications for the Falkland Islands of EC Legislation and of the single market ('1992').,1991,"The Falkland Islands Association, Cambridge Seminar, April 1991. 'The Falkland Islands in the 1990s', pp. 34-36.","Baker-Bates, M.","Legislation, Market, Falkland islands, Economic",Scientific Paper
174,The Falkland Islands and their Dependencies,1955,"The Geographical Journal, 121 (4): 406-416.","Clifford, Sir M","Falkland islands, Dependences, Geographic",Scientific Paper
196,Tourism development under close control: the case of the Falkland Islands.,1995,"Tourism Management, 16 (6): 471-474","Riley, M.","Tourism, Development, Falkland island.",Scientific Paper
199,Prospect of The Falkland Islands.,1977,"The Geographical Journal, 143 (1): 1-13.","Lord Shackleton, Storey, R.J., Johnson, R.","Geography, Political",Scientific Paper
204,Managing the impacts of tourism and recreation at Gypsy Cove,1998,"Falklands Conservation, Stanley","Smith, J.G.","Tourism, Recreation, Gypsy cove, Environment impact",Scientific Paper
205,Development in the Falkland Islands.,1991,"The Falkland Islands Association, Cambridge Seminar, April 1991: 'The Falkland Islands in the 1990s', pp. 29-33.","Summers, M.","Development, Falkland islands.",Scientific Paper
211,The Falkland Islands and their adjacent maritime area.,1997,"International Boundaries Research Unit Maritime Briefing, 2(3): 1-43","Armstrong, P., Forbes, V.","Falkland islands, Maritime area, Fishery, Policy",Scientific Paper
219,"Notes on the shell, radula and habitat of Chilina (Basommatophora) from the Falkland Islands.",1987,Journal of Molluscan Studies. 53 (1): 105-108,"Brown, D.S., Pullan, N.B.","Chilina, Basommatophora, Habitat, Falkland islands, Biology",Scientific Paper
224,"Diagnoses of new species of Marine and Freshwater Shells from the Falkland Islands, including descriptions of two new genera of Marine Pelecypoda.",1910,"Annals of the Magazine of Natural History, 8(10), pp. 110-114.","Cooper, J.E., Preston, H.B.","Freshwater shells, Falkland islands, Descriptions, Marine pelecypoda.",Scientific Paper
227,Chlorobiphenyls and organochlorine pesticides in various sub-antarctic organisms.,1991,"Marine Pollution Bulletin,  22 (9), pp. 441-447.","De Boer, J., Wester, P.","Pesticides, Chlorobiphenyls, Organochlorines, Sub-antarctic organisms, Pollution",Scientific Paper
228,"Description of Falklandia gen.n. from the Southern Ocean and definition of the uristid group of Lysianassoidea (Crustacea, Amphipoda) (French).",1985,"Zoologica Scripta, 14 (4), pp. 303-312.","De Broyer, C.","Lysianassoidea, Crustacea, Amphipoda, Southern ocean, Taxonomy",Scientific Paper
239,"Ecological relationships between the Valviferan Isopod Edotia doellojuradoi Giambiagi, 1925, and its host Mytilus edulis chilensis in the Falkland Islands.",1997,"Estuarine, Coastal and Shelf Science, 44(2), pp. 231-239.","Gray, A.P., Richardson, C.A., Seed, R.","Mytilus edulis chilensis, Edotia doellojuradoi, Association, Falkland islands, Mussels, Biology",Scientific Paper
258,"Mollusca collected by Mr. Rupert Vallentin at Stanley Harbour, Falkland Isles, 1897-99.",1901,"Journal of Conchology, 10 (2): 43-47.","Melvill, J.C., Standen, R.","Mollusca, Stanley harbour, Falkland islands",Scientific Paper
263,"A mass stranding of the squid Martialia Hyadesi Rochebrune and Mabille, 1889 (Teuthoidea: Ommastrephidae) at New Island, Falkland Islands.",1998,"South African Journal of Marine Science, 20, pp. 305-310.","Nolan, C.P., Strange, I.J., Alesworth, E., Agnew, D.J.","Squid, Martialia hyadesi, Teuthoidea, Ommastrephidae, Falkland islands, Biology",Scientific Paper
277,"Algae collected by the 'Hassler', 'Albatross' and Schmitt Expeditions II. Marine algae from Uruguay, Argentina, The Falkland Islands and the Strait of Magellan.",1938,"Michigan Academy Sciences, Arts & Letters, pp 127-165.","Taylor, W.M.R.","Seaweed, Algae",Scientific Paper
278,"Cheus annae, new genus, new species, (Cheidae, new family), a fossorial amphipod from the Falkland Islands",1982,"Journal of Crustacean Biology, 2(3), pp.410-419.","Thurston, M.H.","Amphipod, Taxonomy",Scientific Paper
279,"A new genus and species of fossorial amphipod from the Falkland Islands (Crustacea, Amphipoda, Phoxocephalopsidae), with notes on Phoxocephalopsis.",1989,"Journal of Natural History, 23, pp. 299-310.","Thurston, M.H.","Phoxocephalopsidae, Eophoxocephalopsis, Amphipod, Falkland islands, Taxonomy",Scientific Paper
291,Picoplankton community structure on an Atlantic transect from 500N to 500S.,1998,Deep-Sea Research Part 1. 45(8): 1339-1355,"Zubkov, M.V., Sleigh, M.A., Tarran, G.A., Burkill, P.H., Leakey, R.J.G.","Oceanography, Plankton",Scientific Paper
293,An audiometric survey of Royal Artillery gun crews following 'Operation Corporate'.,1984,"Journal of the Royal Army Medical Corps, 130 (2), pp. 100-108.","Anderson, J.","Medicine, Conflict.",Scientific Paper
295,Historical vignette: Harvey Pirie (1879-1965) and the Falklands?,1983,"South  African Medical Journal, 63, pp. 169-170.","Berstein, R.E.","Historical, Medical",Scientific Paper
296,Dr. Harvey Pirie and the Scottish National Antarctic Expedition (1902-1904): Scottish science and medicine in the Falklands and Antarctica.,1983,"Scottish Medical Journal, 28, pp. 75-79.","Berstein, R.E.","Pirie, Falklands, Antarctica, Geology, Bacteriology, Philately.",Scientific Paper
297,Trauma in the Afghan guerrilla war: Effects of lack of access to care.,1989,"Surgery., 105 (6): 699-705.","Bhatnagar, M.K., Smith, G.S.","Medicine, Conflict.",Scientific Paper
298,"Noise-induced hearing loss sustained during land operations in the Falkland Islands campaign, 1982.",1985,Journal of the Society of Occupational Medicine. 35 (2): 44-54,"Brown, J.R.","Hearing loss, Falklands conflict, Medical",Scientific Paper
299,Saturation diving in the Falklands.,1983,Journal of the Royal Naval Medical Services. 69 pp 91-93,"Bruce, D.G., Hanson","Medical, Conflict, Diving",Scientific Paper
300,Anaesthesia during the Falkland campaign: The experience of the Royal Navy,1983,"Anaesthesia, 38 (8), pp. 770-775.","Bull, P.T., Merrill, S.B., Moody, R.A., Baker, D.J., Yates, A.","Medicine, Conflict, Anaesthesia, Royal navy",Scientific Paper
303,Delayed urinary fistula from high velocity missile injury to the ureter,1983,"Annals of the Royal College of Surgeons of England, 65, pp. 286-288.","Cetti, N.E.","Medical, Conflict, Injury",Scientific Paper
304,Operation Corporate - the Sir Galahad bombing: Woolwich Burns Unit experience.,1984,Journal of the Royal Army Medical Corps. 130 (2): 84-88,"Chapman, P.","Medical, Conflict, Burns",Scientific Paper
305,Military cold injury during the war in the Falkland Islands 1982: an evaluation of possible risk factors.,1984,Journal of the Royal Army Medical Corps. 130 (2): 89-96,"Craig, R.P.","Conflict, Hypothermia, Medical",Scientific Paper
306,The insanity defense in the Falkland Islands: A test of Diminished responsibility,1982,"New England Journal of Medicine., 307 (10): 596-597","Curran, W.J.","Law, Psychiatry, Falkland islands",Scientific Paper
307,Trends in maxillofacial injuries in war-time (1914-1986),1989,British Journal of Oral and Maxillofacial Surgery. 27 pp 445-450,"Dobson, J.E., Newell, M.J., Shepherd","Maxillofacial injuries, Medicine, Falkland islands, Conflict",Scientific Paper
308,"Early evacuation of patients from the battlefield after laparotomy: experiences in Vietnam, Israel and the Falklands.",1987,"Military Medicine, 152, pp. 57-59.","Dolev, E.","Conflict, Falklands",Scientific Paper
309,High rate of male breast cancer in the Falklands.,1993,"British Journal of Hospital Medicine, 49 (11), pp. 821.","Elsby, B.","Cancer, Falklands, Health, Medical",Scientific Paper
311,Army amputees from the Falklands - Review,1984,"Journal of the Royal Army Medical Corps, 130 (2), pp.114-116.","Groom, A.F., Coull, J.T.","Medical, Conflict",Scientific Paper
312,Immediate medical care of burns (French with Eng. Summary),1990,Review International Serv. Sante Forces Armees. 63 (4-6): 129-134,"Guilbaud, Carsin","Medicine, Burns, Conflict",Scientific Paper
316,"Sepsis in soft tissue limb wounds in soldiers injured during the Falkland campaign, 1982.",1984,Journal of the Royal Army Medical Corps. 130 (2): 97-99,"Jackson, D.S.","Conflict, Falklands, Medical, Injuries",Scientific Paper
317,The Falklands war: Army Field Surgical experience.,1983,Annals of the Royal College of Surgeons of England. 65 pp 281-285,"Jackson, D.S., Batty, C.G., Ryan, J.M., McGregor, W.S.P.","Conflict, Medical, Surgical",Scientific Paper
318,First and Second line treatment in the Falklands Campagn: a retrospective review,1984,"Journal of the Royal Army Medical Corps, 130 (2), pp. 79-83.","Jackson, D.S., Jowitt, M.D., Knight, R.J.","Conflict, Medical",Scientific Paper
319,Delayed psychiatric sequelae among Falklands war veterans.,1987,"Journal of the Royal College of General Practitioners, 37, pp. 34-35.","Jones, J., Lovett, J.W.T.","Falkland islands, Conflict, Veterans, Medical, Psychiatry",Scientific Paper
321,Anaesthesia during the Falklands campaign - the land battles.,1983,"Anaesthesia, 38, pp. 776-783.","Jowitt, M.D., Knight, R.J.","Medicine, Conflict.",Scientific Paper
322,The Falkland Islands Morbidity Survey.,1982,"Journal of the Royal College of General Practitioners, September 1982, 535-546.","King, H.O.M., Bleaney, A.A.","Health, Medicine.",Scientific Paper
323,The low prevalence of hypertension in Falkland Islands men,1984,Journal of the Royal College of General Practitioners 34 (259): 95-96,"King, H.O.M., Bleaney, A.A.","Health, Medicine.",Scientific Paper
325,Views and reflections concerning health support in the Falklands conflict (French),1984,Medecine et Armees. 12 (7): 645-655,"Linon, H.","Health, Medicine, Conflict",Scientific Paper
326,Medical lessons from the Falkland Islands capaign,1983,"The Journal of Bone and Joint Surgery., 65-B, No. 4, pp 507-510","London, P.S.","Medicine, Conflict.",Scientific Paper
327,In medical isolation.,1999,Scottish Medicine. 17 (6) pp 12-13,"McAdam, N.","Isolation, Medicine, Health",Scientific Paper
328,Fearlessness and courage: a laboratory study of paratrooper veterans of the Falklands war.,1987,"British Journal of Psychology, 78, pp. 375-383.","McMillan, T.M., Rachman, S.J.","Conflict, Medical",Scientific Paper
330,The Falklands campaign - a medical overview.,1983,Journal of the Royal Naval Medical Service. 69 pp 6-9,"Milton-Thompson, G.J.","Medicine, Falklands conflict.",Scientific Paper
332,Symptoms of post-traumatic stress disorder in Falkland veterans five years after the conflict.,1991,British Journal of Psychiatry. 159 pp 135-141,"O'Brien, L.S., Hughes, S.J.","Veterans, Conflict, Medical",Scientific Paper
334,The Falkland experience.,1985,Journal of Occupational Medicine. 27 pp 902-904,"Oliver, P.O.","Medical, Conflict, Malvinas",Scientific Paper
337,The Falklands: rate of British psychiatric combat casualties compared to recent american wars.,1984,Journal of the Royal Army Medical Corps. 130 (2): 109-113,"Price, H.H.","Psychiatry, Conflict, Medical",Scientific Paper
338,Medicine in the Falklands: A review of the medical services in the Falkland Islands before and after the war of 1982,1984,Journal of the Royal Army Medical Corps. 130 pp 16-19,"Ratcliffe, G.E., Cetti, N.E., Bleaney, A.A.","Medicine, Falkland islands, Conflict, Health",Scientific Paper
339,Medical lessons from the Falklands.,1983,British Medical Journal. 286 (6367): 790-792,"Richards, T.","Conflict, Medicine.",Scientific Paper
340,Ventilation with isoflurane in the Triservice anaesthetic apparatus: a comparison with halothane and trichlorethylene.,1991,"Annals of the Royal College of Surgeons of England., 73: 258-263.","Roberts, D.R.D., Pethybridge, R.J.","Anaesthetic, Conflict, Medical",Scientific Paper
342,Incidence of infection and other complications during the Falkland Islands Conflict 1982.,1986,British Journal of Surgery 73 (6) pp 490,"Shouler, P.J., Mellor, S., Leicester, R.J.","Conflict, Medical",Scientific Paper
343,Neurosurgery in the Falklands campaign.,1987,Proceedings of the Society of British Neurological Surgeons. 50 pp 1099,"Stanworth, P.A.","Neurosurgery, Falklands, Conflict, Medical",Scientific Paper
345,Aspects of dental activity during the Falklands conflict.,1983,"Revista Asociacion Odontologica Argentina, 71 (4), pp. 113-115.","Stvrtecky, R.O.","Dental activity, Falklands conflict, Medical",Scientific Paper
346,Resuscitation experience in the Falkland Islands campaign.,1983,British Medical Journal. 286 (6367): 775-777,"Williams, J.G., Riley, T.R.D., Moody, R.A.","Conflict, Medicine.",Scientific Paper
348,Human impact of the Falkland Islands environment.,1994,"Environmentalist, Vol. 14, Part. 3: 215-231.","Armstrong, P.H.","Environment, Human impact, Falkland islands, Farming, Subdivision, Agriculture",Scientific Paper
350,Wind chill factor applied to Patagonian climatology,1993,International Journal of Biometereology. 37 pp 1-6,"Coronato, F.R.","Patagonia, Bioclimatology, Wind, Maritimity, Sheep",Scientific Paper
357,The effect of climate on plant growth and agriculture in the Falkland Islands,1985,Progress in Biometerology 2 pp 155-176,"McAdam, J.H.","Climate, Growth, Agriculture, Falkland islands, Shelter, Forestry, Whitegrass, Grassland, Cortaderia pilosa",Scientific Paper
363,The climate of Tierra del Fuego from a vegetation geographical point of view and its ecoclimatic counterparts elsewhere,1992,Acta Botanica Fennica. 145: 1-64,"Tuhkanen, S.","Climate, Tierra del fuego, Vegetation, Geography, Ecoclimate",Scientific Paper
364,How the Polar Regions affect Climate Change.,1991,"The Falkland Islands Association, Cambridge Seminar, April 1991. 'The Falkland Islands in the 1990s', pp. 37-40.","Wadhams, P.","Polar regions, Climate, Climate change, Falkland islands",Scientific Paper
407,A preliminary assessment of growth rates of mussels from the Falkland Islands (Mytilus chilensis Hupé and Aulacomya ater (Molina)).,1984,"Journal du conseil / Conseil international pour l'exploration de la mer,  41 (2), pp. 154-158.","Davenport, J., Davenport, J., Davies, G.","Growth rates, Mussels, Falkland islands, Mytilus edulis, Aulacomya ater",Scientific Paper
418,Preliminary estimates of the age and growth of immature smooth oreo Pseudocyttus maculatus Gilchrist 1906 (Oreosomatidae) in the Falkland Islands region of the South Atlantic,1998,"Polar Biology, 19 (5): 330-335","George, M.J.A., Jackson, G.D., Green, C.P., Robertson, S.G.","Age, Growth, Determination, Otolith, Life history, Falkland islands, Fishery biology",Scientific Paper
423,Reproduction and growth of Mytilus edulis chilensis from the Falkland Islands.,1997,Scientia Marina. 61 (Supl. 2): 39-48,"Gray, A.P., Seed, R., Richardson, C.A.","Mytilus edulis, Growth, Reproduction, Association, Isopod, Falkland islands, Mussels, Biology",Scientific Paper
442,Offshore fishing round the Falkland Islands.,1991,"The Falkland Islands Association, Cambridge Seminar, April 1991. 'The Falkland Islands in the 1990s', pp. 7-11.","How, A.","Fishing, Falkland islands, Policy",Scientific Paper
444,Beak length analysis of Moroteuthis ingens (Cephalopoda: Onychoteuthidae) from the Falkland Islands region of the Patagonian shelf.,1997,"Journal of the Marine Biological Association of the United Kingdom, 77, pp. 1235-1238.","Jackson, G.D., Buxton, N.G., George, M.J.A.","Moroteuthis ingens, Cephalopoda, Onychoteuthidae, Falkland islands, Patagonian shelf, Biology, Squid",Scientific Paper
445,Distribution and abundance of the squid Moroteuthis ingens (Cephalopoda: Onychoteuthidae) in the Falkland Islands region of the South Atlantic.,1998,"Polar Biology, 20(3), pp.161-169.","Jackson, G.D., George, M.J.A., Buxton, N.G.","Geographic distribution, Ecological abundance, Ripening, Predator, South atlantic, Falkland islands, Polar region, Squid, Fishery",Scientific Paper
535,Recent tree planting trials and the status of forestry in the Falkland Islands,1982,Commonwealth Forestry Review 61 pp 259-267,"McAdam, J.H.","Hill cove forest, Tree species, Shelterbelt, Historical",Scientific Paper
555,Competition in heathland along an experimental gradient of nutrient availability,1990,"Oikos, 57, pp. 310-318.","Aerts, R., Berendse, F., Klerk, N.M., Bakker, C.","Competition, Heathland, Nutrients, Vegetation",Scientific Paper
564,The effect of varying rates of glyphosate and an organosilicone surfactant on the control of gorse.,1993,"Annals of Applied Biology, 122: 531-536","Balneaves, J.M., Gaskin, R.E., Zabkiewicz, J.A.","Glyphosate, Organosilicone, Surfactant, Pest control, Gorse, Weed",Scientific Paper
565,"Seed germination in Gaultheria antipoda, G. depressa, and Pernettya macrostigma",1990,"New Zealand Journal of Botany, 28: 357-358","Bannister, P.","Germination, Flora, Gaultheria antipoda, Gaultheria depressa, Pernettya macrostigma",Scientific Paper
566,"Ecological differences between Calluna- and Empetrum- dominated dry heath comunities in Drenthe, The Netherlands",1990,"Acta Botanica Neerlandica, 39, pp. 75-92.","Barkman, J.J.","Ecology, Calluna, Empetrum, Heathlands, Netherlands",Scientific Paper
570,Thorn formation of Ulex europaeus in relation to environmental and  endogenous factors,1968,"Botanical Gazette, 129: 145-450","Bieniek, M.E., Millington, W.F.","Thorn, Ulex europaeus, Environment, Flora",Scientific Paper
571,Arctic and alpine vegetation: plant adaptations to cold summer climates.,1974,"In: Ives, J.D. & Barry, R.G. (eds.)  Arctic and Alpine Environments. Methuen, London.  pp. 403-444.","Billings, W.","Vegetation, Adaptation, Climate, Flora",Scientific Paper
574,"The effect of burning and grazing on the grassland birds of north-west Britain, the Falkland Islands, and other oceanic Islands",1988,"In: P.D. Goriup (Ed.) Ecology and Conservation of Grassland Birds, ICBP Technical Publication, No 7, pp 97-103","Bourne, W.R.P.","Burning, Grazing, Grassland, Britain, Falkland islands",Scientific Paper
579,Positive plant interaction in tundra vegetation and the importance of shelter,1991,Journal of Ecology. 79: 973-983,"Carlsson, B.A., Callaghan, T.V.","Plants, Tundra, Vegetation, Shelter, Flora",Scientific Paper
586,Landscape heterogeneity and long-term animal production in Tierra del Fuego.,1998,"Journal of Range Management., 51 (1): 79-87.","Cingolani, A.M., Anchorena, J., Collantes, M.B.","Grassland, Sheep production, Flora, Fertility",Scientific Paper
589,A soil nutrient gradient in Magellanic Empetrum heathlands.,1989,"Vegatio, 80, pp. 183-193.","Collantes, M., Anchorena, J., Koremblit, G.","Soils, Nutrients, Heathland, Flora",Scientific Paper
602,The performance of a range of grass species under two fertilizer regimes in the Falkland Islands,1988,"Research Meeting No 1, British Grassland Society, Hurley. Session 1 paper 5 (pages un-numbered).","Davies, A.B., Riley, J.","Fertilization, Falkland islands, Grassland",Scientific Paper
604,"The impact of utilization on a Cortaderia pilosa (Whitegrass) pasture in terms of production, botanical composition and tiller dynamics.",1989,"Proceedings of the XVI International  Grassland Congress, Nice, France. pp 1475-1476","Davies, A.B., Riley, J., Poultney, R., Carter, A.O.","Utilization, Production, Cortaderia pilosa, Grassland, Whitegrass",Scientific Paper
606,Reseeding in the Falkland Islands: seed rate and fertilizers for establishment.,1994,Grass and Forage Science. 49 (1) pp 65-72,"Davies, A.B., Riley, J.","Falkland islands, Fertilizers, Seeds, Establishment, Reseeding",Scientific Paper
610,New contributions to the knowledge of wild and cultivated plants in the Falkland Islands (Spanish with Eng. Summary),1981,Anales de la Sociedad Cientifica Argentina 209 & 210 pp 11-56,"Dimitri, M.J., Orfila, E.M.","Botany, Cape pembroke, Swan pond, Flora",Scientific Paper
617,"The survival of Falkland Islands transplants at South Georgia and Signy Island, South Orkney Islands",1973,"British Antarctic Survey Bulletin, No. 33-34: 33-45","Edwards, J.A., Greene, D.M.","Falkland islands, South georgia, Signy island, Flora",Scientific Paper
626,Status of birds of the steppe habitats of the Andean zone and Patagonia,1988,"In: P.D. Goriup (Ed.) Ecology and conservation of grassland birds, ICBP Technical Publication No. 7. 81-95","Fjeldsa, J.","Status, Birds, Steppe, Andean zone, Patagonia",Scientific Paper
628,"The effect of multi-species herbivory on shoot growth in gorse, Ulex europaeus",1996,"In: E.S. Delfosse & R.R. Scott (Eds.) Biological control of weeds; VIII International Symposium, Canterbury, New Zealand, February 2-7, 1992. CSIRO Publications, East Melbourne, Victoria, Australia. 579-584","Fowler, S.V., Griffin, D.","Herbivory, Shoot growth, Gorse, Ulex europaeus",Scientific Paper
642,Storage carbohydrate production and overwintering strategy in a winter-green tussock grass on South Georgia (Sub Antarctica).,1985,"Polar Biology., 4 (4): 237-242.","Gunn, T.C., Walton, D.W.H.","Tussock grass, Carbohydrate, South georgia, Botany",Scientific Paper
649,"Survival of gorse seedlings in grazed, ungrazed and mown pasture",1980,New Zealand Weed and and Pest Control Conference. 33: 161-164,"Hartley, M.J., Edmonds, D.K., Phung, H.T., Popay, A.I., Sanders, P.","Pasture, Grazing, Gorse, Farming, Grasses",Scientific Paper
659,Tussac grass (Parodiochloa flabellata): a potentially valuable forage for winter grazing in the Falkland Islands. II Restoration of a Natural Resource.,1994,Proceedings of the XVII International Grassland Congress 1993. pp 1798-1799,"Hoppe, G.M., Howlett, S.G., Kerr, J.A.","Falkland islands, Forage, Management, Restoration, Tussac grass, Tussock grass, Wildlife, Winter grazing.",Scientific Paper
660,A research and development strategy for Whitegrass pasture: the dominant cool temperate rangeland species of the Falkland Islands.,1994,"Proceedings of the XVII International Grassland Congress 1993, pp 1613-1614.","Hoppe, G.M., Kerr, J.A.","Cortaderia pilosa, Falkland islands, Native pasture improvement, Development, Whitegrass, Farming",Scientific Paper
661,"Management of a Tussac grass community for wildlife, tourism and agriculture.",1992,Aspects of Applied Biology. 29 pp 377-381,"Hoppe, G.M., McAdam, J.H.","Tussac grass, Wildlife, Tourism, Agriculture, Tussock grass",Scientific Paper
662,The effects of frequency of defoliation on the rate of leaf growth and senescence of Whitegrass (Cortaderia pilosa) in the Falkland Islands.,1992,"Proceedings of the 14th General Meeting of the European Grassland Federation, Finland. pp 422-424","Hoppe, G.M., Wilson, F.E.A.","Senescence, Whitegrass, Cortaderia pilosa, Falkland islands, Grassland, Cutting",Scientific Paper
663,Voluntary intake and digestion of gorse (Ulex europaeus) by goats and sheep,1988,Journal of Agricultural Science. 111: 107-114,"Howe, J.C., Barry, T.N., Popay, A.I.","Nutrition, Gorse, Ulex europaeus, Goats, Sheep, Grasses",Scientific Paper
666,Effects of pasture species and sheep grazing on establishment of sown Ulex europaeus,1979,"Proceedings of the 17th Conference of the Asian-Pacific Weed Science Society, pp. 355-357.","Ivens, G.W.","Pasture, Sheep, Grazing, Gorse, Ulex europaeus",Scientific Paper
667,Seasonal germination and establishment of gorse,1982,New Zealand Weed  and Pest Control Conference. 35: 152-156,"Ivens, G.W.","Germination, Gorse, Ulex europaeus, Grasses",Scientific Paper
668,Response of seedling gorse to fertilisers,1983,New Zealand Weed  and Pest Control Conference. 36: 52-55,"Ivens, G.W., Mlowe, F.","Seedlings, Gorse, Ulex europaeus, Fertilisers",Scientific Paper
